BASEL_cloud_cover,BASEL_humidity,BASEL_pressure,BASEL_global_radiation,BASEL_precipitation,BASEL_sunshine,BASEL_temp_mean,BASEL_temp_min,BASEL_temp_max
4,0.93,1.018,0.41,0.0,1.8,0.9,-1.2,4.4
7,0.89,1.018,0.37,0.01,1.3,1.5,-1.3,4.0
6,0.85,1.018,0.62,0.06,5.3,-1.0,-3.1,1.3
6,0.94,1.018,0.18,0.08,0.0,2.0,-2.5,5.9
8,0.97,1.018,0.18,0.21,0.0,1.1,-0.2,2.1
8,0.88,1.018,0.18,0.16,0.0,4.4,-1.0,7.5
8,0.78,1.018,0.18,0.38,0.0,4.9,2.4,12.8
7,0.7,1.018,0.34,0.26,0.8,4.2,1.1,6.8
7,0.88,1.018,0.27,0.0,0.3,1.7,0.5,5.3
7,0.85,1.018,0.19,0.03,0.0,1.7,-1.6,5.7
5,0.84,1.018,0.23,0.0,0.1,2.5,1.1,4.6
8,0.9,1.018,0.19,0.4,0.0,2.6,-1.2,6.2
7,0.84,1.018,0.28,0.18,0.3,3.9,1.6,6.5
7,0.9,1.018,0.3,0.41,0.4,2.2,1.1,4.8
8,0.98,1.018,0.19,0.19,0.0,2.1,1.5,3.7
8,0.93,1.018,0.2,0.0,0.0,-1.4,-1.9,2.2
3,0.86,1.018,0.55,0.0,3.1,-2.0,-4.6,0.6
5,0.84,1.018,0.53,0.0,2.7,-1.6,-4.1,1.1
5,0.7,1.018,0.58,0.0,3.4,-2.2,-2.9,-1.2
3,0.81,1.018,0.5,0.0,2.2,-2.7,-4.1,0.5
3,0.93,1.018,0.32,0.0,0.4,-2.7,-4.7,-1.0
5,0.92,1.018,0.45,0.0,1.5,-3.2,-3.9,-0.7
1,0.89,1.018,0.81,0.0,6.9,-2.4,-5.9,1.4
8,0.93,1.018,0.29,0.32,0.2,-0.2,-3.5,0.9
5,0.95,1.018,0.55,0.0,2.4,1.5,0.2,5.0
5,0.84,1.018,0.64,0.3,3.5,1.5,0.0,4.7
